n, t
0, 37
1024, 9
2048, 13
3072, 11
4096, 12
5120, 10
6144, 12
7168, 11
8192, 14
9216, 130
10240, 62
11264, 108
12288, 101
13312, 99
14336, 103
15360, 99
16384, 100
17408, 101
18432, 100
19456, 102
20480, 110
21504, 108
22528, 112
23552, 112
24576, 116
25600, 112
26624, 113
27648, 113
28672, 117
29696, 116
30720, 118
31744, 137
32768, 119
33792, 117
34816, 118
35840, 117
36864, 120
37888, 120
38912, 121
39936, 120
40960, 124
41984, 122
43008, 124
44032, 122
45056, 127
46080, 124
47104, 124
48128, 130
49152, 128
50176, 126
51200, 127
52224, 127
53248, 136
54272, 130
55296, 130
56320, 131
57344, 130
58368, 123
59392, 123
60416, 121
61440, 127
62464, 123
63488, 129
64512, 125
65536, 126
66560, 125
67584, 124
68608, 126
69632, 132
70656, 125
71680, 129
72704, 128
73728, 129
74752, 127
75776, 125
76800, 117
77824, 121
78848, 128
79872, 120
80896, 121
81920, 120
82944, 123
83968, 121
84992, 121
86016, 124
87040, 123
88064, 123
89088, 123
90112, 123
91136, 124
92160, 125
93184, 128
94208, 128
95232, 139
96256, 128
97280, 127
98304, 127
99328, 125
100352, 128
101376, 128
102400, 131
103424, 131
104448, 131
105472, 132
106496, 129
107520, 131
108544, 129
109568, 132
110592, 132
111616, 134
112640, 134
113664, 133
114688, 132
115712, 134
116736, 134
117760, 135
118784, 137
119808, 134
120832, 137
121856, 137
122880, 137
123904, 137
124928, 136
125952, 134
126976, 138
128000, 136
129024, 139
130048, 135
131072, 139
132096, 140
133120, 128
134144, 186
135168, 143
136192, 163
137216, 143
138240, 142
139264, 141
140288, 143
141312, 142
142336, 140
143360, 141
144384, 144
145408, 143
146432, 144
147456, 142
148480, 146
149504, 148
150528, 147
151552, 149
152576, 147
153600, 148
154624, 148
155648, 148
156672, 147
157696, 147
158720, 153
159744, 148
160768, 149
161792, 151
162816, 151
163840, 147
164864, 150
165888, 150
166912, 153
167936, 153
168960, 153
169984, 156
171008, 153
172032, 152
173056, 155
174080, 155
175104, 155
176128, 157
177152, 154
178176, 156
179200, 161
180224, 152
181248, 156
182272, 158
183296, 158
184320, 158
185344, 157
186368, 159
187392, 156
188416, 156
189440, 156
190464, 160
191488, 160
192512, 163
193536, 158
194560, 160
195584, 157
196608, 159
197632, 159
198656, 160
199680, 161
200704, 162
201728, 160
202752, 162
203776, 162
204800, 165
205824, 164
206848, 162
207872, 164
208896, 164
209920, 165
210944, 166
211968, 163
212992, 164
214016, 165
215040, 167
216064, 163
217088, 170
218112, 164
219136, 168
220160, 166
221184, 165
222208, 170
223232, 168
224256, 169
225280, 166
226304, 171
227328, 169
228352, 167
229376, 166
230400, 168
231424, 169
232448, 170
233472, 174
234496, 172
235520, 171
236544, 172
237568, 173
238592, 170
239616, 172
240640, 169
241664, 170
242688, 173
243712, 175
244736, 172
245760, 177
246784, 176
247808, 177
248832, 176
249856, 176
250880, 175
251904, 176
252928, 172
253952, 175
254976, 175
256000, 176
257024, 174
258048, 176
259072, 176
260096, 178
261120, 179
262144, 176
263168, 188
264192, 173
265216, 175
266240, 176
267264, 180
268288, 187
269312, 195
270336, 192
271360, 206
272384, 179
273408, 181
274432, 183
275456, 182
276480, 181
277504, 185
278528, 181
279552, 181
280576, 185
281600, 186
282624, 186
283648, 186
284672, 181
285696, 186
286720, 186
287744, 184
288768, 187
289792, 187
290816, 185
291840, 188
292864, 187
293888, 190
294912, 188
295936, 191
296960, 188
297984, 190
299008, 189
300032, 190
301056, 189
302080, 191
303104, 192
304128, 189
305152, 191
306176, 197
307200, 188
308224, 191
309248, 195
310272, 191
311296, 191
312320, 194
313344, 194
314368, 194
315392, 196
316416, 194
317440, 194
318464, 195
319488, 196
320512, 191
321536, 196
322560, 193
323584, 192
324608, 197
325632, 198
326656, 197
327680, 201
328704, 196
329728, 196
330752, 198
331776, 197
332800, 198
333824, 196
334848, 200
335872, 198
336896, 200
337920, 201
338944, 200
339968, 201
340992, 201
342016, 200
343040, 202
344064, 203
345088, 202
346112, 204
347136, 206
348160, 203
349184, 204
350208, 205
351232, 201
352256, 202
353280, 202
354304, 206
355328, 207
356352, 206
357376, 205
358400, 202
359424, 204
360448, 207
361472, 204
362496, 205
363520, 207
364544, 209
365568, 210
366592, 211
367616, 207
368640, 212
369664, 206
370688, 208
371712, 210
372736, 208
373760, 210
374784, 211
375808, 213
376832, 217
377856, 210
378880, 212
379904, 211
380928, 214
381952, 212
382976, 210
384000, 215
385024, 212
386048, 210
387072, 215
388096, 212
389120, 214
390144, 217
391168, 215
392192, 213
393216, 212
394240, 211
395264, 214
396288, 214
397312, 216
398336, 219
399360, 215
400384, 216
401408, 219
402432, 214
403456, 251
404480, 234
405504, 257
406528, 247
407552, 216
408576, 217
409600, 218
410624, 220
411648, 219
412672, 218
413696, 223
414720, 223
415744, 222
416768, 221
417792, 221
418816, 220
419840, 225
420864, 225
421888, 222
422912, 223
423936, 223
424960, 223
425984, 225
427008, 223
428032, 224
429056, 224
430080, 227
431104, 226
432128, 223
433152, 224
434176, 226
435200, 224
436224, 230
437248, 230
438272, 228
439296, 231
440320, 232
441344, 228
442368, 227
443392, 229
444416, 231
445440, 232
446464, 233
447488, 230
448512, 231
449536, 234
450560, 228
451584, 228
452608, 233
453632, 229
454656, 230
455680, 230
456704, 232
457728, 233
458752, 230
459776, 233
460800, 232
461824, 232
462848, 234
463872, 234
464896, 232
465920, 232
466944, 238
467968, 235
468992, 236
470016, 236
471040, 237
472064, 238
473088, 238
474112, 235
475136, 244
476160, 236
477184, 239
478208, 238
479232, 237
480256, 239
481280, 238
482304, 238
483328, 235
484352, 238
485376, 240
486400, 239
487424, 240
488448, 241
489472, 240
490496, 245
491520, 242
492544, 238
493568, 243
494592, 244
495616, 244
496640, 241
497664, 246
498688, 245
499712, 242
500736, 240
501760, 243
502784, 245
503808, 244
504832, 246
505856, 246
506880, 246
507904, 243
508928, 243
509952, 242
510976, 247
512000, 250
513024, 248
514048, 247
515072, 247
516096, 247
517120, 248
518144, 248
519168, 245
520192, 246
521216, 248
522240, 251
523264, 250
524288, 250
525312, 248
526336, 250
527360, 247
528384, 249
529408, 248
530432, 253
531456, 248
532480, 253
533504, 248
534528, 251
535552, 253
536576, 254
537600, 253
538624, 311
539648, 284
540672, 315
541696, 291
542720, 252
543744, 254
544768, 255
545792, 254
546816, 258
547840, 259
548864, 256
549888, 256
550912, 258
