n, t
0, 37
1024, 13
2048, 13
3072, 11
4096, 12
5120, 11
6144, 11
7168, 12
8192, 13
9216, 202
10240, 62
11264, 106
12288, 98
13312, 96
14336, 101
15360, 99
16384, 102
17408, 97
18432, 98
19456, 96
20480, 101
21504, 202
22528, 106
23552, 111
24576, 124
25600, 117
26624, 118
27648, 117
28672, 119
29696, 120
30720, 123
31744, 124
32768, 126
33792, 124
34816, 124
35840, 121
36864, 127
37888, 118
38912, 104
39936, 102
40960, 108
41984, 104
43008, 115
44032, 115
45056, 120
46080, 118
47104, 119
48128, 120
49152, 122
50176, 121
51200, 119
52224, 122
53248, 125
54272, 122
55296, 129
56320, 124
57344, 127
58368, 127
59392, 127
60416, 125
61440, 130
62464, 126
63488, 124
64512, 118
65536, 119
66560, 117
67584, 118
68608, 116
69632, 117
70656, 119
71680, 123
72704, 121
73728, 122
74752, 120
75776, 122
76800, 122
77824, 124
78848, 123
79872, 125
80896, 126
81920, 129
82944, 125
83968, 126
84992, 126
86016, 128
87040, 128
88064, 131
89088, 130
90112, 133
91136, 131
92160, 128
93184, 130
94208, 132
95232, 131
96256, 132
97280, 129
98304, 132
99328, 133
100352, 133
101376, 131
102400, 138
103424, 154
104448, 153
105472, 149
106496, 153
107520, 147
108544, 150
109568, 150
110592, 151
111616, 151
112640, 152
113664, 152
114688, 154
115712, 153
116736, 157
117760, 156
118784, 155
119808, 156
120832, 155
121856, 155
122880, 159
123904, 160
124928, 157
125952, 158
126976, 160
128000, 162
129024, 160
130048, 164
131072, 163
132096, 162
133120, 146
134144, 165
135168, 166
136192, 186
137216, 166
138240, 165
139264, 168
140288, 164
141312, 166
142336, 174
143360, 167
144384, 168
145408, 170
146432, 170
147456, 167
148480, 170
149504, 169
150528, 171
151552, 168
152576, 172
153600, 170
154624, 168
155648, 175
156672, 173
157696, 173
158720, 174
159744, 174
160768, 175
161792, 176
162816, 176
163840, 176
164864, 176
165888, 179
166912, 179
167936, 180
168960, 180
169984, 178
171008, 181
172032, 179
173056, 182
174080, 181
175104, 183
176128, 180
177152, 185
178176, 180
179200, 184
180224, 182
181248, 186
182272, 186
183296, 185
184320, 187
185344, 188
186368, 188
187392, 188
188416, 187
189440, 190
190464, 192
191488, 188
192512, 189
193536, 191
194560, 189
195584, 188
196608, 188
197632, 190
198656, 190
199680, 192
200704, 193
201728, 192
202752, 190
203776, 193
204800, 191
205824, 192
206848, 193
207872, 196
208896, 198
209920, 187
210944, 196
211968, 195
212992, 197
214016, 199
215040, 197
216064, 198
217088, 195
218112, 196
219136, 198
220160, 197
221184, 202
222208, 201
223232, 199
224256, 201
225280, 196
226304, 201
227328, 202
228352, 200
229376, 198
230400, 173
231424, 164
232448, 164
233472, 164
234496, 166
235520, 163
236544, 166
237568, 164
238592, 162
239616, 166
240640, 163
241664, 166
242688, 164
243712, 163
244736, 168
245760, 166
246784, 167
247808, 166
248832, 169
249856, 165
250880, 169
251904, 167
252928, 167
253952, 170
254976, 166
256000, 167
257024, 172
258048, 169
259072, 168
260096, 169
261120, 171
262144, 170
263168, 171
264192, 174
265216, 171
266240, 169
267264, 169
268288, 174
269312, 278
270336, 185
271360, 195
272384, 172
273408, 176
274432, 174
275456, 174
276480, 174
277504, 177
278528, 175
279552, 173
280576, 175
281600, 176
282624, 176
283648, 176
284672, 175
285696, 176
286720, 178
287744, 178
288768, 181
289792, 178
290816, 176
291840, 178
292864, 178
293888, 179
294912, 178
295936, 181
296960, 180
297984, 179
299008, 180
300032, 185
301056, 180
302080, 181
303104, 182
304128, 182
305152, 182
306176, 184
307200, 184
308224, 185
309248, 183
310272, 184
311296, 187
312320, 182
313344, 183
314368, 185
315392, 185
316416, 185
317440, 186
318464, 187
319488, 190
320512, 188
321536, 182
322560, 186
323584, 184
324608, 186
325632, 188
326656, 186
327680, 186
328704, 188
